RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31
845167,296,"Ottawa, IL",msa,IL,112134.0,115912.0,113077.0,117267.0,111037.0,110969.0,103742.0,110018.0,110442.0,114766.0,112046.0,113801.0,106216.0,105154.0,105788.0,114320.0,122806.0,122125.0,127623.0,122333.0,124764.0,122194.0,118859.0,118953.0,118589.0,120050.0,124305.0,126223.0,130074.0,129007.0,127683.0,129659.0,128319.0,124745.0,118292.0,114704.0,119726.0,124927.0,130489.0,131684.0,132439.0,139820.0,138638.0,138913.0,129545.0,130916.0,129473.0,133850.0,132296.0,129888.0,126838.0,128305.0,133246.0,137841.0,137438.0,139344.0,140316.0,138896.0,137053.0,128641.0
395223,298,"Wichita Falls, TX",msa,TX,121906.0,123175.0,128785.0,127766.0,122954.0,120805.0,126509.0,135366.0,138829.0,141192.0,139454.0,138606.0,135880.0,127347.0,121782.0,119185.0,129414.0,133203.0,134789.0,134981.0,142039.0,144069.0,135840.0,132961.0,137383.0,148001.0,151819.0,156426.0,156857.0,147974.0,141332.0,143371.0,152136.0,155588.0,157449.0,167220.0,173975.0,182240.0,180742.0,172618.0,170084.0,166674.0,176068.0,183938.0,190522.0,186138.0,177868.0,176830.0,179503.0,186058.0,182320.0,185124.0,174578.0,177500.0,176616.0,183650.0,179911.0,183194.0,185143.0,189183.0
395182,300,"Valdosta, GA",msa,GA,142509.0,143974.0,143648.0,147379.0,148226.0,148428.0,148743.0,147980.0,152230.0,151460.0,150825.0,152172.0,151404.0,152716.0,152395.0,155590.0,156957.0,148908.0,145807.0,146254.0,156227.0,158206.0,159082.0,157538.0,158591.0,161537.0,167613.0,172916.0,175609.0,172014.0,170357.0,169680.0,176807.0,179195.0,180635.0,177394.0,179137.0,176665.0,179284.0,179172.0,185880.0,184790.0,188431.0,190460.0,200345.0,202356.0,206056.0,201577.0,206551.0,207418.0,216759.0,215796.0,212730.0,209721.0,211932.0,218534.0,218584.0,218946.0,218275.0,217773.0
394800,301,"Logan, UT",msa,UT,231759.0,235921.0,241465.0,243760.0,245073.0,246066.0,249123.0,245533.0,243866.0,241551.0,246165.0,247079.0,249495.0,256037.0,259330.0,258399.0,257485.0,261479.0,271091.0,271115.0,272914.0,265692.0,266807.0,272286.0,279234.0,288524.0,295434.0,306120.0,311279.0,315090.0,312226.0,309368.0,319202.0,336156.0,353591.0,357105.0,362691.0,370128.0,380427.0,393155.0,398379.0,396015.0,398188.0,412177.0,430127.0,437580.0,433220.0,433318.0,411176.0,400320.0,392607.0,404772.0,414155.0,414931.0,418356.0,417729.0,414441.0,415632.0,419225.0,413340.0
394595,302,"Flagstaff, AZ",msa,AZ,329137.0,325391.0,332055.0,343170.0,344439.0,332565.0,335712.0,341847.0,359513.0,359098.0,361446.0,367285.0,366232.0,367201.0,360141.0,368966.0,363638.0,369797.0,354140.0,362522.0,360787.0,380257.0,395026.0,400063.0,410178.0,408864.0,424780.0,424412.0,430136.0,437359.0,442698.0,454339.0,446403.0,468133.0,481843.0,517495.0,525837.0,528182.0,523750.0,527654.0,556523.0,586465.0,610777.0,609065.0,621563.0,629449.0,629251.0,615114.0,598913.0,593420.0,591004.0,579913.0,570646.0,565473.0,586698.0,597059.0,610852.0,607136.0,627193.0,624936.0
395036,303,"Rocky Mount, NC",msa,NC,126430.0,125581.0,129044.0,122171.0,121328.0,118876.0,124460.0,126171.0,124200.0,128504.0,124112.0,127104.0,127756.0,126626.0,131609.0,129564.0,127763.0,123245.0,124340.0,138074.0,137438.0,140163.0,128949.0,131025.0,132764.0,146020.0,155360.0,156271.0,153126.0,152746.0,157082.0,158897.0,163909.0,160692.0,164671.0,161234.0,169749.0,172604.0,174978.0,168768.0,174697.0,182239.0,182326.0,182343.0,178487.0,195262.0,193463.0,202450.0,192477.0,192643.0,192712.0,196425.0,198142.0,193365.0,193635.0,188038.0,182751.0,184616.0,189390.0,205228.0
395000,304,"Pottsville, PA",msa,PA,89416.0,87752.0,83471.0,85783.0,84516.0,86098.0,83557.0,83396.0,81474.0,82461.0,82627.0,91784.0,102323.0,114368.0,114423.0,104063.0,99098.0,93229.0,91177.0,87410.0,101781.0,104971.0,108915.0,107680.0,114209.0,109180.0,95933.0,92582.0,99499.0,106302.0,107138.0,103130.0,94164.0,84366.0,79399.0,80098.0,86558.0,91535.0,95611.0,104308.0,100932.0,101600.0,98264.0,100757.0,105500.0,105704.0,110514.0,115216.0,107453.0,105097.0,97477.0,103902.0,102696.0,108984.0,105790.0,112007.0,110209.0,111290.0,112094.0,108144.0
394515,305,"Dalton, GA",msa,GA,132487.0,133321.0,127495.0,125203.0,127169.0,132046.0,134975.0,130673.0,129515.0,131442.0,140689.0,144794.0,146076.0,142100.0,143988.0,144858.0,149236.0,148891.0,150352.0,153664.0,157499.0,152551.0,148151.0,148954.0,157656.0,160707.0,163367.0,167770.0,169288.0,168905.0,171354.0,175409.0,176630.0,177362.0,177272.0,180522.0,182277.0,191715.0,196980.0,199207.0,200719.0,198372.0,199867.0,199954.0,209513.0,206649.0,202135.0,195442.0,197317.0,203102.0,205357.0,206758.0,205182.0,205220.0,206274.0,206170.0,207124.0,209813.0,218627.0,228428.0
394783,306,"Lebanon, PA",msa,PA,165426.0,169501.0,174758.0,172523.0,172687.0,168389.0,165092.0,167854.0,167391.0,172399.0,169132.0,171322.0,170833.0,175280.0,174173.0,180161.0,175006.0,179065.0,168762.0,178535.0,182797.0,196615.0,193732.0,187648.0,181201.0,180932.0,186453.0,188189.0,190261.0,194125.0,196325.0,194071.0,187129.0,196636.0,199342.0,208224.0,208670.0,211016.0,202410.0,195753.0,191949.0,205378.0,212011.0,219431.0,216430.0,218666.0,224281.0,229591.0,232909.0,241778.0,240013.0,238796.0,231800.0,222419.0,227531.0,216815.0,224504.0,223438.0,241704.0,248390.0
394880,307,"Morristown, TN",msa,TN,149319.0,152012.0,151628.0,155114.0,152536.0,150491.0,149276.0,149512.0,151859.0,152574.0,158450.0,160947.0,159927.0,154086.0,152536.0,153986.0,162021.0,163716.0,163815.0,158207.0,162380.0,160500.0,172088.0,167129.0,168557.0,165253.0,174688.0,184108.0,181801.0,168585.0,167328.0,174879.0,189124.0,190937.0,194599.0,199117.0,207640.0,214552.0,228838.0,232246.0,233334.0,229762.0,240034.0,240897.0,241949.0,237513.0,244516.0,243104.0,240569.0,232941.0,236485.0,240178.0,246776.0,244720.0,238167.0,237858.0,240588.0,251054.0,267990.0,279992.0
395232,308,"Winchester, VA",msa,VA,241823.0,245887.0,243824.0,241132.0,231548.0,233760.0,232602.0,237647.0,239643.0,241166.0,236308.0,234960.0,234238.0,241676.0,241437.0,247738.0,245872.0,253748.0,256363.0,259811.0,265718.0,270525.0,269283.0,265127.0,265681.0,274898.0,282277.0,289259.0,280698.0,280073.0,272730.0,287657.0,290916.0,299000.0,299155.0,307368.0,314285.0,317894.0,316544.0,316906.0,320391.0,318752.0,318071.0,318951.0,324966.0,325103.0,325977.0,329250.0,334901.0,341195.0,338739.0,347454.0,337341.0,336058.0,331913.0,342210.0,346582.0,339726.0,343902.0,348795.0
395221,309,"Wheeling, WV",msa,OH,110635.0,113409.0,108592.0,112596.0,111789.0,114392.0,113190.0,118321.0,119919.0,120448.0,115645.0,110264.0,109699.0,111720.0,108935.0,112185.0,114354.0,116303.0,123232.0,132629.0,133525.0,126101.0,123690.0,128432.0,130174.0,124034.0,125577.0,128433.0,119922.0,121846.0,118286.0,124653.0,119861.0,126326.0,127317.0,130383.0,128590.0,131042.0,131978.0,123463.0,125839.0,122716.0,132104.0,126550.0,132035.0,128085.0,128042.0,123687.0,123213.0,126902.0,126107.0,134347.0,130718.0,132576.0,124316.0,128032.0,132377.0,139262.0,137581.0,126294.0
394879,310,"Morgantown, WV",msa,WV,198517.0,194264.0,190767.0,194540.0,194772.0,197845.0,211201.0,215748.0,217035.0,206464.0,206802.0,202080.0,202192.0,201124.0,206316.0,195735.0,199042.0,198360.0,204963.0,210047.0,215911.0,222503.0,206405.0,208158.0,203614.0,213033.0,215083.0,213131.0,220250.0,213116.0,217080.0,214745.0,215247.0,215956.0,216130.0,216216.0,214819.0,214984.0,220918.0,220093.0,219989.0,216298.0,220215.0,228297.0,229415.0,237668.0,227734.0,228780.0,226533.0,225683.0,227523.0,229293.0,230149.0,230167.0,221379.0,218643.0,222031.0,213694.0,222809.0,229876.0
394756,311,"La Crosse, WI",msa,WI,182290.0,180571.0,181514.0,179578.0,181856.0,179105.0,189130.0,193368.0,200202.0,195422.0,191840.0,194288.0,190129.0,188322.0,183864.0,190010.0,193635.0,194061.0,188556.0,193530.0,196471.0,208193.0,208230.0,210972.0,207900.0,208650.0,204148.0,206751.0,203701.0,208273.0,212720.0,214122.0,210144.0,212918.0,224130.0,228049.0,225009.0,219137.0,222259.0,222257.0,225121.0,224141.0,225963.0,227773.0,230340.0,237946.0,240836.0,247791.0,242028.0,241591.0,236809.0,238314.0,233830.0,234306.0,234475.0,245121.0,247827.0,250646.0,248100.0,252080.0
